index,id,breed,Breed_1,age,status,size,Size_1,fixed,house_trained,special,current,children,dog,Size_2,status1,dogs
43995,45214443,1,0,1,2,3,4,1,1,0,1,1,1,1,1,13
43996,45212368,1,0,1,2,3,4,1,1,0,0,1,1,1,1,1
43997,45212213,0,0,1,2,3,4,1,0,0,0,1,1,1,1,13
43998,45204132,1,0,1,2,3,4,1,1,0,0,1,1,0,1,32
43999,45204130,1,0,1,2,3,4,1,0,0,0,1,1,0,1,8
44000,45201757,0,0,1,2,3,4,1,1,0,1,1,1,1,1,2
44001,45198425,0,0,1,2,3,4,1,1,0,1,1,1,1,1,24
44002,45197016,1,0,0,2,3,4,1,0,0,1,0,1,1,1,10
44003,45196948,1,0,0,2,3,4,1,0,0,1,0,0,0,1,11
44004,45195417,1,0,1,2,3,4,1,1,0,0,1,1,1,1,12
44005,45191567,1,0,1,2,3,4,0,0,0,1,1,1,1,1,27
44006,45186767,1,0,1,2,3,4,1,1,0,1,1,1,1,1,32
44007,45186715,1,0,1,2,3,4,1,1,0,1,1,1,1,1,4
44008,45184354,1,0,1,2,3,4,0,0,1,0,1,1,1,1,2
44009,45184113,1,0,0,2,3,4,1,0,0,1,0,1,1,1,30
44010,45169060,0,0,1,2,3,4,1,1,0,1,1,1,1,1,18
44011,45168039,1,0,1,2,3,4,1,1,0,1,1,1,1,1,17
44012,45168040,1,0,1,2,3,4,1,0,0,1,1,1,1,1,3
44013,45164158,1,0,1,2,3,4,1,1,0,1,1,1,1,1,14
44014,45164133,1,0,1,2,3,4,0,1,0,1,1,1,1,1,4
44015,45164125,1,0,1,2,3,4,1,1,0,1,1,1,1,1,15
44016,45164118,1,0,1,2,3,4,1,1,0,1,1,1,0,1,29
44017,45162748,1,0,1,2,3,4,1,1,0,1,1,1,0,1,27
44018,45160913,1,0,1,2,3,4,1,1,0,0,1,1,1,1,16
44019,45154213,1,0,1,2,3,4,1,0,0,1,1,1,1,1,4
44020,45153373,0,0,1,2,3,4,1,0,1,1,1,1,1,1,20
